State,County,City
Kentucky,Boone,Union
Missouri,Greene,Willard
Arkansas,Benton,Bella-Vista
Texas,Dallas,Garland
Texas,Travis,Del-Valle
Delaware,Sussex,Seaford
North-Carolina,Mecklenburg,Matthews
Alabama,Baldwin,Foley
Mississippi,DeSoto,Hernando
Michigan,Wayne,Livonia
Minnesota,Dakota,Lakeville
Rhode-Island,Bristol,Warren
Connecticut,Hartford,West-Hartford
Illinois,Will,Bolingbrook
Arkansas,Pulaski,Jacksonville
Colorado,El-Paso,Peyton
California,Riverside,Moreno-Valley
Washington,Snohomish,Bothell
Georgia,Cobb,Smyrna
Alaska,Matanuska-Susitna,Big-Lake
New-Jersey,Hudson,Bayonne
Delaware,New-Castle,New-Castle
South-Dakota,Pennington,Hill-City
Nebraska,Hall,Doniphan
Louisiana,Jefferson,Gretna
Arizona,Pinal,Maricopa
Washington,King,Renton
Maine,Penobscot,Brewer
Vermont,Washington,Northfield
Montana,Missoula,Clinton
Tennessee,Rutherford,La-Vergne
Mississippi,Rankin,Florence
Massachusetts,Middlesex,Somerville
Rhode-Island,Newport,Middletown
New-Hampshire,Hillsborough,Merrimack
Montana,Cascade,Belt
Louisiana,East-Baton-Rouge,Baker
Oklahoma,Oklahoma,Choctaw
Alabama,Montgomery,Hope-Hull
Illinois,Cook,Cicero
Missouri,Clay,Excelsior-Springs
Louisiana,St.-Tammany,Mandeville
Oklahoma,Comanche,Elgin
Idaho,Canyon,Middleton
Georgia,Chatham,Port-Wentworth
Florida,Miami-Dade,Homestead
California,San-Diego,Oceanside
Indiana,Allen,Leo
Minnesota,Hennepin,Hopkins
North-Dakota,Cass,Horace
Massachusetts,Suffolk,Dorchester-Center
New-Hampshire,Merrimack,Suncook
Maine,York,Sanford
Arkansas,Sebastian,Lavaca
Wyoming,Natrona,Mills
Idaho,Ada,Kuna
Utah,Utah,Lehi
Georgia,Gwinnett,Snellville
Hawaii,Maui,Kihei
Hawaii,Honolulu,Waipahu
Alaska,Anchorage,Jber
Rhode-Island,Kent,West-Warwick
Illinois,Lake,Barrington
Kansas,Sedgwick,Haysville
Nebraska,Douglas,Bennington
Oregon,Multnomah,Troutdale
Indiana,Lake,Crown-Point
Michigan,Genesee,Fenton
Wisconsin,Waukesha,New-Berlin
Tennessee,Knox,Powell
Ohio,Cuyahoga,Strongsville
Connecticut,Litchfield,Watertown
Pennsylvania,Delaware,Media
Delaware,Kent,Camden-Wyoming
Illinois,Kane,Saint-Charles
Utah,Davis,Bountiful
New-Mexico,Santa-Fe,Glorieta
Washington,Clark,Camas
Washington,Spokane,Greenacres
Alaska,Kenai-Peninsula,Homer
Massachusetts,Norfolk,Braintree
North-Carolina,Forsyth,Clemmons
Missouri,St.-Louis,Ballwin
Arizona,Yavapai,Cottonwood
Minnesota,Washington,Stillwater
New-Jersey,Middlesex,Piscataway
Alabama,Madison,Harvest
North-Dakota,Williams,Ray
Oklahoma,Cleveland,Noble
Nevada,Elko,West-Wendover
Kansas,Douglas,Baldwin-City
Texas,Bexar,Helotes
Virginia,Prince-William,Gainesville
Maryland,Howard,Laurel
West-Virginia,Cabell,Milton
West-Virginia,Wood,Williamstown
Massachusetts,Worcester,Fitchburg
New-Hampshire,Strafford,Durham
Vermont,Windsor,Chester
Vermont,Franklin,Enosburg-Falls
Tennessee,Davidson,Madison
Kentucky,Jefferson,Fairdale
Montana,Yellowstone,Shepherd
Montana,Gallatin,Manhattan
Louisiana,Caddo,Vivian
Nevada,Washoe,Sun-Valley
Utah,Weber,Hooper
Arizona,Pima,Green-Valley
Oregon,Washington,Hillsboro
Maine,Androscoggin,Sabattus
New-Jersey,Essex,Irvington
West-Virginia,Monongalia,Granville
Wisconsin,Dane,Middleton
South-Dakota,Brown,Bath
Utah,Washington,Hurricane
Idaho,Bonneville,Ucon
Mississippi,Harrison,Long-Beach
South-Dakota,Lincoln,Tea
Hawaii,Hawaii,Keaau
Connecticut,New-London,New-London
New-Jersey,Bergen,Fort-Lee
South-Carolina,Horry,Murrells-Inlet
Maine,Cumberland,Brunswick
Vermont,Rutland,Castleton
North-Carolina,Guilford,Jamestown
Nevada,Lyon,Yerington
Ohio,Franklin,Grove-City
Michigan,Kent,Rockford
Tennessee,Hamilton,Ooltewah
Pennsylvania,Bucks,Morrisville
Ohio,Montgomery,Englewood
Wisconsin,Brown,Pulaski
South-Dakota,Minnehaha,Hartford
Montana,Flathead,Whitefish
Oklahoma,Tulsa,Owasso
Wisconsin,Milwaukee,Franklin
Oregon,Lane,Cottage-Grove
Oklahoma,Canadian,El-Reno
Wyoming,Laramie,Pine-Bluffs
New-Mexico,Bernalillo,Sandia-Park
Rhode-Island,Washington,Wakefield
Maryland,Anne-Arundel,Pasadena
Tennessee,Shelby,Collierville
New-Mexico,Sandoval,Corrales
Texas,Harris,Cypress
Utah,Davis,Kaysville
Illinois,Kane,Carpentersville
Wyoming,Campbell,Recluse
Idaho,Bannock,Downey
Kansas,Douglas,Lecompton
New-Mexico,Santa-Fe,Santa-Cruz
California,San-Bernardino,Rancho-Cucamonga
Tennessee,Rutherford,Christiana
Tennessee,Davidson,Hermitage
Wisconsin,Milwaukee,South-Milwaukee
Minnesota,Dakota,Farmington
California,Los-Angeles,Lancaster
New-Jersey,Essex,Bloomfield
Virginia,Prince-William,Dumfries
North-Carolina,Wake,Wake-Forest
Florida,Broward,Coral-Springs
Florida,Miami-Dade,Miami-Beach
Tennessee,Knox,Corryton
Kentucky,Boone,Hebron
Iowa,Johnson,Solon
Illinois,DuPage,Downers-Grove
Missouri,Clay,Kearney
Arizona,Maricopa,Scottsdale
California,Orange,Huntington-Beach
Virginia,Fairfax,Falls-Church
Maine,Androscoggin,Turner
Virginia,Loudoun,Chantilly
Indiana,Allen,Huntertown
Michigan,Oakland,Southfield
Florida,Palm-Beach,Boynton-Beach
Wisconsin,Racine,Union-Grove
Washington,Spokane,Veradale
Louisiana,Jefferson,Marrero
Nevada,Elko,Carlin
West-Virginia,Monongalia,Maidsville
South-Carolina,Horry,Little-River
Georgia,Gwinnett,Norcross
Michigan,Wayne,Canton
New-Jersey,Monmouth,Asbury-Park
Massachusetts,Worcester,Shrewsbury
Rhode-Island,Kent,East-Greenwich
Maine,Kennebec,Oakland
Vermont,Windsor,Windsor
South-Carolina,Greenville,Taylors
Georgia,Cobb,Powder-Springs
Montana,Cascade,Vaughn
Missouri,St.-Charles,Wentzville
Massachusetts,Middlesex,Framingham
Maine,York,Kennebunk
Delaware,Kent,Felton
Utah,Washington,Ivins
Nevada,Washoe,Incline-Village
Florida,Hillsborough,Plant-City
Minnesota,Anoka,Circle-Pines
California,San-Diego,Escondido
Hawaii,Honolulu,Mililani
Washington,King,Bellevue
Alaska,Matanuska-Susitna,Willow
North-Carolina,Cumberland,Stedman
Oklahoma,Canadian,Piedmont
New-Mexico,Sandoval,Cuba
Nevada,Clark,Mesquite
Nevada,Lyon,Silver-Springs
Alabama,Baldwin,Bay-Minette
Tennessee,Hamilton,Soddy-Daisy
Mississippi,DeSoto,Horn-Lake
Mississippi,Harrison,Pass-Christian
Michigan,Macomb,Macomb
Mississippi,Hinds,Terry
Iowa,Scott,Le-Claire
Illinois,Cook,Arlington-Heights
Nebraska,Buffalo,Elm-Creek
Texas,Dallas,Grand-Prairie
Arizona,Yavapai,Sedona
Maine,Penobscot,Old-Town
New-York,Queens,Corona
Oregon,Clackamas,Happy-Valley
Ohio,Cuyahoga,Euclid
Arkansas,Benton,Siloam-Springs
Utah,Weber,Eden
Oregon,Multnomah,Fairview
Oregon,Lane,Florence
Rhode-Island,Washington,Narragansett
Rhode-Island,Providence,Woonsocket
Connecticut,Fairfield,Danbury
Iowa,Linn,Mount-Vernon
South-Dakota,Brown,Warner
North-Dakota,Burleigh,Driscoll
Illinois,Will,Naperville
Missouri,St.-Louis,Chesterfield
Missouri,Jackson,Blue-Springs
Idaho,Ada,Eagle
Utah,Utah,American-Fork
Arizona,Pima,Vail
Georgia,DeKalb,Lithonia
Alaska,Kenai-Peninsula,Seward
Georgia,Chatham,Tybee-Island
Iowa,Black-Hawk,La-Porte-City
North-Dakota,Cass,Casselton
North-Dakota,Ward,Kenmare
Nebraska,Lancaster,Bennet
Arizona,Pinal,Apache-Junction
Hawaii,Kauai,Koloa
Maine,Cumberland,Scarborough
Vermont,Franklin,Fairfax
Connecticut,New-Haven,Meriden
Nebraska,Douglas,Valley
Wyoming,Natrona,Alcova
New-Mexico,Doña-Ana,Santa-Teresa
Mississippi,Rankin,Flowood
Oregon,Washington,Tualatin
Massachusetts,Suffolk,Revere
New-Hampshire,Rockingham,Portsmouth
New-Jersey,Hudson,West-New-York
New-Jersey,Middlesex,Perth-Amboy
West-Virginia,Cabell,Culloden
North-Carolina,Guilford,Summerfield
South-Carolina,Spartanburg,Woodruff
Ohio,Summit,Stow
Wisconsin,Waukesha,Menomonee-Falls
South-Dakota,Brookings,White
Kansas,Sedgwick,Valley-Center
Alabama,Mobile,Grand-Bay
Colorado,Jefferson,Golden
New-York,Suffolk,Patchogue
Delaware,New-Castle,Middletown
Tennessee,Shelby,Germantown
Kentucky,Jefferson,Fisherville
Minnesota,Washington,Forest-Lake
California,Riverside,Murrieta
Alaska,Fairbanks-North-Star,Eielson-Afb
Alabama,Madison,Owens-Cross-Roads
New-Hampshire,Merrimack,Franklin
New-Hampshire,Strafford,Somersworth
Pennsylvania,Delaware,Chester
Maryland,Howard,Elkridge
Arkansas,Faulkner,Mayflower
Oklahoma,Oklahoma,Bethany
Texas,Tarrant,Mansfield
Texas,Bexar,Universal-City
Idaho,Canyon,Parma
Arizona,Yuma,Wellton
Missouri,Greene,Brookline
New-Mexico,Bernalillo,Cedar-Crest
Indiana,Marion,West-Newton
New-Hampshire,Hillsborough,Hudson
Pennsylvania,Bucks,Doylestown
Maryland,Montgomery,Germantown
Nebraska,Sarpy,La-Vista
Oklahoma,Cleveland,Lexington
Oklahoma,Comanche,Cache
Texas,Travis,Manor
Colorado,Arapahoe,Denver
Idaho,Kootenai,Rathdrum
North-Dakota,Grand-Forks,Larimore
Connecticut,Hartford,Bristol
New-Jersey,Bergen,Fair-Lawn
Virginia,Henrico,Sandston
Georgia,Fulton,Duluth
Illinois,Lake,Lake-Zurich
Kansas,Johnson,Lenexa
Oklahoma,Tulsa,Sand-Springs
Wyoming,Laramie,Burns
Wyoming,Fremont,Fort-Washakie
Indiana,Hamilton,Westfield
Indiana,Lake,Merrillville
Iowa,Polk,Urbandale
Maryland,Baltimore,Dundalk
West-Virginia,Kanawha,Elkview
Kentucky,Warren,Rockfield
Michigan,Kent,Grandville
Montana,Missoula,Frenchtown
Louisiana,East-Baton-Rouge,Greenwell-Springs
Arkansas,Sebastian,Barling
Michigan,Genesee,Davison
Colorado,El-Paso,Monument
Washington,Snohomish,Marysville
Pennsylvania,Allegheny,Bethel-Park
Maryland,Prince-George's,Laurel
Connecticut,New-London,Colchester
Ohio,Hamilton,North-Bend
Ohio,Montgomery,Vandalia
Louisiana,St.-Tammany,Madisonville
Louisiana,Caddo,Greenwood
Utah,Salt-Lake,Sandy
Vermont,Rutland,Fair-Haven
Connecticut,Litchfield,Winsted
North-Carolina,Mecklenburg,Cornelius
South-Carolina,Charleston,Johns-Island
Arkansas,Washington,Farmington
New-Mexico,San-Juan,Shiprock
South-Dakota,Pennington,New-Underwood
Alabama,Jefferson,Pinson
New-Hampshire,Grafton,Littleton
Delaware,Sussex,Milford
Kentucky,Kenton,Erlanger
Montana,Yellowstone,Huntley
Kansas,Shawnee,Auburn
Nebraska,Hall,Cairo
Ohio,Franklin,Westerville
Vermont,Washington,Waterbury
South-Carolina,Richland,Hopkins
Rhode-Island,Newport,Tiverton
West-Virginia,Wood,Mineral-Wells
Montana,Flathead,Bigfork
Colorado,Adams,Westminster
Mississippi,Jackson,Vancleave
Wisconsin,Brown,Oneida
Florida,Orange,Winter-Garden
Massachusetts,Essex,Peabody
Massachusetts,Norfolk,Randolph
Vermont,Chittenden,Colchester
Maryland,Anne-Arundel,Severn
Indiana,St.-Joseph,Osceola
Washington,Pierce,Gig-Harbor
Washington,Clark,Washougal
South-Dakota,Lincoln,Canton
South-Dakota,Minnehaha,Dell-Rapids
Alaska,Anchorage,Chugiak
Hawaii,Hawaii,Pahoa
North-Dakota,Williams,Epping
Montana,Gallatin,Three-Forks
Wyoming,Sweetwater,McKinnon
Idaho,Bonneville,Irwin
West-Virginia,Berkeley,Falling-Waters
Pennsylvania,Montgomery,Collegeville
North-Carolina,Forsyth,Lewisville
Alabama,Montgomery,Ramer
Wisconsin,Dane,Verona
Minnesota,Hennepin,Maple-Grove
Arkansas,Pulaski,Sherwood
Hawaii,Maui,Lahaina
Oregon,Marion,Stayton
Montana,Cascade,Black-Eagle
Florida,Palm-Beach,Delray-Beach
Alabama,Mobile,Saraland
Ohio,Franklin,Hilliard
Connecticut,Hartford,Manchester
North-Carolina,Forsyth,Pfafftown
New-Hampshire,Grafton,Bristol
New-Hampshire,Strafford,Barrington
Virginia,Fairfax,Herndon
Tennessee,Davidson,Goodlettsville
Texas,Dallas,Mesquite
New-Mexico,Sandoval,Placitas
Montana,Flathead,Lakeside
Arkansas,Benton,Lowell
Wyoming,Campbell,Weston
Arizona,Maricopa,Chandler
New-Mexico,Santa-Fe,Stanley
California,Los-Angeles,Glendale
Georgia,Cobb,Acworth
New-Hampshire,Rockingham,Exeter
Maine,York,Wells
Minnesota,Hennepin,Osseo
South-Dakota,Lincoln,Lennox
Kentucky,Warren,Woodburn
Iowa,Johnson,Swisher
Alaska,Fairbanks-North-Star,Salcha
Nebraska,Sarpy,Gretna
Utah,Washington,Santa-Clara
Massachusetts,Essex,Methuen
Maine,Penobscot,Hampden
West-Virginia,Berkeley,Bunker-Hill
Florida,Hillsborough,Lutz
Michigan,Macomb,Utica
South-Dakota,Brown,Frederick
Oregon,Marion,Turner
Vermont,Chittenden,Milton
Delaware,New-Castle,Bear
Maryland,Montgomery,Bethesda
West-Virginia,Cabell,Ona
North-Carolina,Wake,Garner
South-Carolina,Spartanburg,Moore
Kansas,Johnson,Leawood
Louisiana,East-Baton-Rouge,Pride
Louisiana,Caddo,Mooringsport
Oklahoma,Canadian,Oklahoma-City
Maine,Cumberland,Westbrook
New-Jersey,Middlesex,Monroe-Township
West-Virginia,Wood,Washington
Oklahoma,Comanche,Fletcher
Texas,Bexar,Boerne
Arizona,Pinal,Florence
Tennessee,Shelby,Arlington
Kentucky,Jefferson,Masonic-Home
Ohio,Summit,Uniontown
South-Carolina,Charleston,Hollywood
Nebraska,Douglas,Waterloo
Oklahoma,Cleveland,Newalla
Delaware,Sussex,Georgetown
Indiana,St.-Joseph,Walkerton
Iowa,Black-Hawk,Hudson
South-Dakota,Minnehaha,Garretson
Tennessee,Rutherford,Rockvale
Indiana,Lake,Hobart
Michigan,Oakland,Waterford
Oklahoma,Tulsa,Bixby
New-Mexico,Doña-Ana,Hatch
North-Carolina,Mecklenburg,Davidson
Montana,Gallatin,Big-Sky
Arkansas,Pulaski,Maumelle
Texas,Harris,Humble
Idaho,Bannock,Lava-Hot-Springs
Hawaii,Honolulu,Kaneohe
Washington,Snohomish,Snohomish
Tennessee,Knox,Mascot
Michigan,Genesee,Burton
South-Dakota,Brookings,Aurora
Massachusetts,Middlesex,Waltham
Rhode-Island,Kent,West-Greenwich
Connecticut,Litchfield,Woodbury
North-Dakota,Williams,Grenora
Kansas,Shawnee,Silver-Lake
Arkansas,Sebastian,Mansfield
Arizona,Pima,Sahuarita
California,Orange,Garden-Grove
Massachusetts,Worcester,Milford
Connecticut,New-Haven,West-Haven
Delaware,Kent,Magnolia
South-Carolina,Horry,Loris
Wisconsin,Milwaukee,Cudahy
Montana,Yellowstone,Worden
Colorado,Jefferson,Broomfield
Colorado,Arapahoe,Byers
Idaho,Bonneville,Swan-Valley
California,San-Bernardino,Victorville
Pennsylvania,Allegheny,Gibsonia
West-Virginia,Monongalia,Wana
Maine,Kennebec,Winthrop
Nebraska,Buffalo,Shelton
Indiana,Hamilton,Sheridan
Iowa,Scott,Blue-Grass
Minnesota,Dakota,Inver-Grove-Heights
Vermont,Rutland,West-Rutland
Ohio,Cuyahoga,Beachwood
Michigan,Kent,Caledonia
Illinois,Cook,Evanston
Missouri,Jackson,Grandview
North-Dakota,Burleigh,Sterling
Texas,Tarrant,North-Richland-Hills
Arizona,Yuma,Roll
Rhode-Island,Washington,Charlestown
Rhode-Island,Providence,Cumberland
Maine,Androscoggin,Poland
Alabama,Jefferson,Gardendale
Alabama,Baldwin,Gulf-Shores
Kentucky,Kenton,Latonia
North-Dakota,Cass,Kindred
New-Hampshire,Hillsborough,Bedford
New-Jersey,Bergen,Garfield
New-Jersey,Hudson,North-Bergen
Illinois,Will,Romeoville
Nevada,Elko,Wells
South-Carolina,Richland,Eastover
Oregon,Lane,Junction-City
North-Dakota,Grand-Forks,Northwood
Washington,Clark,Ridgefield
New-Hampshire,Merrimack,Tilton
Vermont,Franklin,Richford
Connecticut,Fairfield,Fairfield
Pennsylvania,Delaware,Drexel-Hill
Maryland,Anne-Arundel,Odenton
Missouri,St.-Louis,Fenton
Missouri,St.-Charles,Lake-Saint-Louis
Utah,Davis,Syracuse
Washington,Spokane,Deer-Park
Tennessee,Hamilton,Signal-Mountain
Mississippi,Hinds,Raymond
Michigan,Wayne,Westland
Georgia,Gwinnett,Suwanee
Ohio,Hamilton,Terrace-Park
Iowa,Linn,Center-Point
New-Jersey,Essex,West-Orange
Missouri,Greene,Strafford
Wyoming,Fremont,Shoshoni
Nevada,Clark,Boulder-City
Washington,King,Auburn
Connecticut,New-London,Jewett-City
Virginia,Prince-William,Bristow
California,Riverside,Temecula
Washington,Pierce,Bonney-Lake
Idaho,Ada,Garden-City
New-Mexico,Bernalillo,Isleta
New-Mexico,San-Juan,Kirtland
Indiana,Allen,Grabill
Wisconsin,Racine,Sturtevant
West-Virginia,Kanawha,Dunbar
Florida,Orange,Ocoee
Illinois,DuPage,Lombard
Missouri,Clay,Smithville
Alabama,Montgomery,Grady
Colorado,El-Paso,Usaf-Academy
California,San-Diego,El-Cajon
Rhode-Island,Newport,Jamestown
Vermont,Windsor,Woodstock
Pennsylvania,Montgomery,Ambler
Florida,Broward,Deerfield-Beach
Wisconsin,Dane,Stoughton
Minnesota,Washington,Hugo
Illinois,Lake,Buffalo-Grove
Oklahoma,Oklahoma,Harrah
Alaska,Kenai-Peninsula,Sterling
Hawaii,Kauai,Kekaha
Vermont,Washington,Waterbury-Center
New-Jersey,Monmouth,Neptune
New-York,Queens,Ridgewood
Maryland,Prince-George's,Fort-Washington
North-Carolina,Guilford,Gibsonville
Georgia,DeKalb,Ellenwood
Louisiana,Jefferson,Harvey
Wyoming,Sweetwater,Superior
Idaho,Kootenai,Athol
Utah,Utah,Pleasant-Grove
Arizona,Yavapai,Chino-Valley
Ohio,Montgomery,Brookville
Florida,Miami-Dade,Opa-Locka
Mississippi,Rankin,Richland
Oregon,Washington,Forest-Grove
Alaska,Anchorage,Girdwood
Virginia,Loudoun,Aldie
Maryland,Howard,Jessup
Wisconsin,Waukesha,Oconomowoc
Illinois,Kane,Geneva
Louisiana,St.-Tammany,Pearl-River
Wyoming,Natrona,Midwest
Idaho,Canyon,Wilder
Utah,Weber,Huntsville
Alaska,Matanuska-Susitna,Talkeetna
Arkansas,Faulkner,Damascus
Arkansas,Washington,Elkins
Colorado,Adams,Thornton
Mississippi,Harrison,Saucier
Wisconsin,Brown,Denmark
Pennsylvania,Bucks,Warminster
North-Carolina,Cumberland,Linden
Georgia,Fulton,Fairburn
Massachusetts,Norfolk,Franklin
New-York,Suffolk,Lindenhurst
Montana,Missoula,Bonner
Nebraska,Lancaster,Firth
South-Dakota,Pennington,Wall
Hawaii,Hawaii,Kamuela
Hawaii,Maui,Makawao
Alabama,Madison,Hazel-Green
Massachusetts,Suffolk,East-Boston
Maryland,Baltimore,Gwynn-Oak
Mississippi,DeSoto,Nesbit
Iowa,Polk,Johnston
Minnesota,Anoka,Cedar
Kansas,Sedgwick,Goddard
Oregon,Clackamas,West-Linn
Mississippi,Jackson,Gautier
North-Dakota,Ward,Surrey
Wyoming,Laramie,Fe-Warren-Afb
Utah,Salt-Lake,South-Jordan
South-Carolina,Greenville,Piedmont
Kentucky,Boone,Walton
Nebraska,Hall,Alda
Texas,Travis,Spicewood
Nevada,Lyon,Smith
Nevada,Washoe,Washoe-Valley
Oregon,Multnomah,Corbett